{'basic_model': 'resnet50', 'motion': '', 'seq': True, 'se_layer': False, 'dilation': False, 'distillation': False, 'L2': False, 'KL': False, 'iter_num': 80000, 'iter_save': 10000, 'iter_start_seq': 0, 'train_batch_size': 6, 'last_iter': 0, 'lr': 0.001, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.95, 'snapshot': '', 'pretrain': './ckpt/VideoSaliency_2020-02-04 11:17:40/60000.pth', 'imgs_file': 'Pre-train/pretrain_all_seq_DUT_TR_DAFB2_DAVSOD2.txt', 'train_loader': 'both'}

[iter 174][normal], [total loss 0.29542], [loss0 0.12624], [loss1 0.13444], [loss2 0.13245] [lr 0.0009980422870]
[iter 175][seq], [total loss 0.29576], [loss0 0.12619], [loss1 0.13430], [loss2 0.13243] [lr 0.0009980310345]
[iter 176][normal], [total loss 0.29436], [loss0 0.12574], [loss1 0.13381], [loss2 0.13195] [lr 0.0009980197820]
[iter 177][normal], [total loss 0.29291], [loss0 0.12524], [loss1 0.13326], [loss2 0.13141] [lr 0.0009980085295]
[iter 178][seq], [total loss 0.29306], [loss0 0.12507], [loss1 0.13309], [loss2 0.13136] [lr 0.0009979972770]
[iter 179][normal], [total loss 0.29183], [loss0 0.12477], [loss1 0.13274], [loss2 0.13102] [lr 0.0009979860245]
[iter 180][normal], [total loss 0.29077], [loss0 0.12463], [loss1 0.13256], [loss2 0.13085] [lr 0.0009979747720]
[iter 181][seq], [total loss 0.29026], [loss0 0.12431], [loss1 0.13222], [loss2 0.13048] [lr 0.0009979635195]
[iter 182][normal], [total loss 0.28893], [loss0 0.12388], [loss1 0.13175], [loss2 0.13002] [lr 0.0009979522669]
[iter 183][normal], [total loss 0.28776], [loss0 0.12361], [loss1 0.13144], [loss2 0.12972] [lr 0.0009979410143]
[iter 184][seq], [total loss 0.28747], [loss0 0.12336], [loss1 0.13115], [loss2 0.12944] [lr 0.0009979297617]
[iter 185][normal], [total loss 0.28637], [loss0 0.12314], [loss1 0.13089], [loss2 0.12919] [lr 0.0009979185092]
[iter 186][normal], [total loss 0.28508], [loss0 0.12273], [loss1 0.13043], [loss2 0.12874] [lr 0.0009979072565]
[iter 187][seq], [total loss 0.28558], [loss0 0.12269], [loss1 0.13042], [loss2 0.12876] [lr 0.0009978960039]
[iter 188][normal], [total loss 0.28437], [loss0 0.12235], [loss1 0.13004], [loss2 0.12839] [lr 0.0009978847513]
[iter 189][normal], [total loss 0.28323], [loss0 0.12206], [loss1 0.12971], [loss2 0.12807] [lr 0.0009978734986]
[iter 190][seq], [total loss 0.28373], [loss0 0.12210], [loss1 0.12971], [loss2 0.12803] [lr 0.0009978622460]
[iter 191][normal], [total loss 0.28255], [loss0 0.12177], [loss1 0.12934], [loss2 0.12767] [lr 0.0009978509933]
[iter 192][normal], [total loss 0.28157], [loss0 0.12162], [loss1 0.12915], [loss2 0.12749] [lr 0.0009978397406]
[iter 193][seq], [total loss 0.28297], [loss0 0.12219], [loss1 0.12929], [loss2 0.12767] [lr 0.0009978284879]
[iter 194][normal], [total loss 0.28181], [loss0 0.12186], [loss1 0.12893], [loss2 0.12731] [lr 0.0009978172351]
[iter 195][normal], [total loss 0.28065], [loss0 0.12152], [loss1 0.12855], [loss2 0.12694] [lr 0.0009978059824]
[iter 196][seq], [total loss 0.28161], [loss0 0.12176], [loss1 0.12857], [loss2 0.12714] [lr 0.0009977947296]
[iter 197][normal], [total loss 0.28045], [loss0 0.12141], [loss1 0.12817], [loss2 0.12676] [lr 0.0009977834769]
[iter 198][normal], [total loss 0.27935], [loss0 0.12110], [loss1 0.12784], [loss2 0.12643] [lr 0.0009977722241]
[iter 199][seq], [total loss 0.27881], [loss0 0.12074], [loss1 0.12754], [loss2 0.12607] [lr 0.0009977609713]
[iter 200][normal], [total loss 0.27772], [loss0 0.12044], [loss1 0.12720], [loss2 0.12574] [lr 0.0009977497185]
[iter 201][normal], [total loss 0.27657], [loss0 0.12007], [loss1 0.12679], [loss2 0.12534] [lr 0.0009977384657]
[iter 202][seq], [total loss 0.27654], [loss0 0.11998], [loss1 0.12653], [loss2 0.12520] [lr 0.0009977272128]
[iter 203][normal], [total loss 0.27546], [loss0 0.11967], [loss1 0.12619], [loss2 0.12487] [lr 0.0009977159600]
[iter 204][normal], [total loss 0.27459], [loss0 0.11956], [loss1 0.12605], [loss2 0.12473] [lr 0.0009977047071]
